article id	publication date	researcher ids	title	doi	issn	publisher	volume	issue	pages
pub.1099633345	2018-01-01	ur.01313375444.17	The effect of shorter treatment regimens for hepatitis C on population health and under fixed budgets	10.1093/ofid/ofx267	2328-8957	Oxford University Press (OUP)	5	1	ofx267-
pub.1091600879	2018-01-01	ur.01322416734.99	Variation in the use of active surveillance for low‐risk prostate cancer	10.1002/cncr.30983	0008-543X	Wiley	124	1	55-64
pub.1085795371	2018-01-01	ur.0705116241.53	Dietary Fat Intake and Fecundability in 2 Preconception Cohort Studies.	10.1093/aje/kwx204	0002-9262	Oxford University Press (OUP)	187	1	60-74
pub.1092070801	2018-01-01	ur.01310660413.00	Limits of predictions in thermodynamic systems: a review	10.1088/1361-6633/aa9101	0034-4885	IOP Publishing	81	1	016601
pub.1085619524	2018-01-01	ur.015033243422.35	High-Protein Foods and Physical Activity Protect Against Age-Related Muscle Loss and Functional Decline.	10.1093/gerona/glx070	1079-5006	Oxford University Press (OUP)	73	1	88-94
pub.1092498989	2018-01-01	ur.01322416734.99	Trends in Breast, Colorectal, and Cervical Cancer Incidence Following the Affordable Care Act: Implications for Cancer Screening	10.1001/jamaoncol.2017.3861	2374-2437	American Medical Association (AMA)	4	1	128-129
pub.1093163973	2018-01-01	ur.07531166477.45||ur.01006136262.04||ur.012671740247.48	Volumetric fluorescence retinal imaging in vivo over a 30-degree field of view by oblique scanning laser ophthalmoscopy (oSLO).	10.1364/boe.9.000025	2156-7085	The Optical Society	9	1	25-40
pub.1085421977	2018-01-01	ur.014553024077.97||ur.01216536103.09	Regionally compartmentalized resident memory T cells mediate naturally acquired protection against pneumococcal pneumonia	10.1038/mi.2017.43	1933-0219	Springer Nature	11	1	220
pub.1100431602	2018-01-01	ur.01134357625.06	Spectral statistics and scattering resonances of complex primes arrays	10.1103/physrevb.97.024202	2469-9950	American Physical Society (APS)	97	2	024202
pub.1101134250	2018-01-01	ur.0667155617.04||ur.0620731666.43	Hospital and clinical care costs associated with atrial fibrillation for Medicare beneficiaries in the Cardiovascular Health Study and the Framingham Heart Study	10.1177/2050312118759444	2050-3121	SAGE Publications	6		2050312118759444
pub.1093080681	2018-01-01	ur.012561557607.67	Weight Change During the Early Rheumatoid Arthritis Period and Risk of Subsequent Mortality in Women With Rheumatoid Arthritis and Matched Comparators	10.1002/art.40346	2326-5191	Wiley	70	1	18-29
pub.1100172406	2018-01-01	ur.011336332567.22	Increased vegetation growth and carbon stock in China karst via ecological engineering	10.1038/s41893-017-0004-x	2398-9629	Springer Nature	1	1	44-50
pub.1091417937	2018-01-01	ur.0767651144.84	Promotion of cooperation induced by two-sided players in prisoner’s dilemma game	10.1016/j.physa.2017.08.117	0378-4371	Elsevier	490		584-590
pub.1100191492	2018-01-01	ur.010240402014.24	Life-Course Genome-wide Association Study Meta-analysis of Total Body BMD and Assessment of Age-Specific Effects	10.1016/j.ajhg.2017.12.005	0002-9297	Elsevier	102	1	88-102
pub.1085125487	2018-01-01	ur.012561557607.67	Smoking Behavior Changes in the Early Rheumatoid Arthritis Period and Risk of Mortality During Thirty‐Six Years of Prospective Followup	10.1002/acr.23269	2151-464X	Wiley	70	1	19-29
pub.1103657475	2018-01-01	ur.01330132420.37||ur.016221236705.55	A High-Efficiency Magnetically Coupled Charging and Communication Platform for Microsensors	10.1109/memsys.2018.8346640		Institute of Electrical and Electronics Engineers (IEEE)			657-660
pub.1091052637	2018-01-01	ur.01110255312.59||ur.01072013416.08	Transmural variation in elastin fiber orientation distribution in the arterial wall	10.1016/j.jmbbm.2017.08.002	1751-6161	Elsevier	77		745-753
pub.1092539178	2018-01-01	ur.012561557607.67	Smoking paradox in the development of psoriatic arthritis among patients with psoriasis: a population-based study	10.1136/annrheumdis-2017-211625	0003-4967	BMJ	77	1	119
pub.1100231925	2018-01-01	ur.012561557607.67	Comparative efficacy and tolerability of new-generation antidepressants for major depressive disorder in children and adolescents: protocol of an individual patient data meta-analysis	10.1136/bmjopen-2017-018357	2044-6055	BMJ	8	1	e018357
pub.1091864143	2018-01-01	ur.011460045523.24||ur.010240402014.24	Diabetes and Deficits in Cortical Bone Density, Microarchitecture, and Bone Size: Framingham HR‐pQCT Study	10.1002/jbmr.3240	0884-0431	Wiley	33	1	54-62
pub.1086024372	2018-01-01	ur.012036044573.44	Practical risk score for 5-, 10-, and 20-year prediction of dementia in elderly persons: Framingham Heart Study	10.1016/j.jalz.2017.04.013	1552-5260	Elsevier	14	1	35-42
pub.1100246253	2018-01-01	ur.01002402575.65	Optimizing Delivery of HIV Preexposure Prophylaxis for Women in the United States	10.1089/apc.2017.0201	1087-2914	Mary Ann Liebert	32	1	16-23
pub.1100590267	2018-01-01	ur.012561557607.67	Comparative efficacy and acceptability of bibliotherapy for depression and anxiety disorders in children and adolescents: a meta-analysis of randomized clinical trials	10.2147/ndt.s152747	1176-6328	Taylor & Francis	14		353-365
pub.1100352169	2018-01-01	ur.0767651144.84	Dual-induced multifractality in online viewing activity.	10.1063/1.5003100	1054-1500	AIP Publishing	28	1	013114
pub.1090923126	2018-01-01	ur.012561557607.67	Physical Function After Total Knee Replacement: An Observational Study Describing Outcomes in a Small Group of Women From China and the United States	10.1016/j.apmr.2017.07.007	0003-9993	Elsevier	99	1	194-197
pub.1090852269	2018-01-01	ur.0674362701.11	Young children will lie to prevent a moral transgression	10.1016/j.jecp.2017.06.004	0022-0965	Elsevier	165	Child Development 63 1992	51-65
pub.1100405738	2018-01-01	ur.014355462354.45	Search for additional heavy neutral Higgs and gauge bosons in the ditau final state produced in 36 fb−1 of pp collisions at s=13 TeV with the ATLAS detector	10.1007/jhep01(2018)055	1126-6708	Springer Nature	2018	1	55
pub.1104437069	2018-01-01	ur.01033261006.89||ur.010240402014.24	ExomeChip-Wide Analysis of 95 626 Individuals Identifies 10 Novel Loci Associated With QT and JT Intervals	10.1161/circgen.117.001758	1942-325X	Wolters Kluwer	11	1	e001758
pub.1100690437	2018-01-01	ur.014355462354.45	Search for dark matter and other new phenomena in events with an energetic jet and large missing transverse momentum using the ATLAS detector	10.1007/jhep01(2018)126	1126-6708	Springer Nature	2018	1	126
pub.1091864628	2018-01-01	ur.012674327017.94||ur.012076746417.45	Carbonic anhydrase III protects osteocytes from oxidative stress	10.1096/fj.201700485rr	0892-6638	FASEB	32	1	440-452
pub.1091488018	2018-01-01	ur.07371415037.57	TCR‐pMHC encounter differentially regulates transcriptomes of tissue‐resident CD8 T cells	10.1002/eji.201747174	0014-2980	Wiley	48	1	128-150
pub.1092273828	2018-01-01	ur.01143127556.85	Reproduction, early development, and larval rearing strategies for two sponge-dwelling neon gobies, Elacatinus lori and E. colini	10.1016/j.aquaculture.2017.10.024	0959-8030	Elsevier	483	J. Fish Biol. 75 2009	286-295
pub.1092317552	2018-01-01	ur.01110255312.59||ur.0603613714.91||ur.01072013416.08	Understanding the viscoelastic behavior of arterial elastin in glucose via relaxation time distribution spectrum	10.1016/j.jmbbm.2017.10.023	1751-6161	Elsevier	77		634-641
pub.1100248061	2018-01-01	ur.0710071532.46||ur.07705210014.28	Force Generation via β-Cardiac Myosin, Titin, and α-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions	10.1016/j.devcel.2017.12.012	1534-5807	Elsevier	44	1	87-96.e5
pub.1091410687	2018-01-01	ur.0767651144.84	Cross-correlations and influence in world gold markets	10.1016/j.physa.2017.08.045	0378-4371	Elsevier	490		504-512
pub.1085618955	2018-01-01	ur.012561557607.67	Response to: ‘Is optimizing gout treatment the key to closing the mortality gap in gout patients?’ by Brinck et al	10.1136/annrheumdis-2017-211671	0003-4967	BMJ	77	1	e3
pub.1044872420	2018-01-01	ur.01322416734.99	Contemporary Management of Prostate Cancer Patients Suitable for Active Surveillance: A North American Population-based Study	10.1016/j.euf.2016.06.001	2405-4569	Elsevier	4	1	68-74
pub.1091404241	2018-01-01	ur.0767651144.84	The resonant behavior in the oscillator with double fractional-order damping under the action of nonlinear multiplicative noise	10.1016/j.physa.2017.08.051	0378-4371	Elsevier	490		845-856
pub.1091244201	2018-01-01	ur.0767651144.84	Multiplex network analysis of employee performance and employee social relationships	10.1016/j.physa.2017.08.008	0378-4371	Elsevier	490		1-12
pub.1099876841	2018-01-01	ur.01033261006.89||ur.010240402014.24	Protein-altering variants associated with body mass index implicate pathways that control energy intake and expenditure in obesity	10.1038/s41588-017-0011-x	1061-4036	Springer Nature	50	1	26-41
pub.1090941123	2018-01-01	ur.01327134615.25	Behavioral performance and neural areas associated with memory processes contribute to math and reading achievement in 6-year-old children	10.1016/j.cogdev.2017.07.002	0885-2014	Elsevier	45	Journal of Experimental Child Psychology 106 2010	141-151
pub.1100431606	2018-01-01	ur.01330132420.37||ur.016221236705.55	Identifying the perfect absorption of metamaterial absorbers	10.1103/physrevb.97.035128	2469-9950	American Physical Society (APS)	97	3	035128
pub.1092126147	2018-01-01	ur.01325131157.00||ur.012561557607.67	Effect of bisphosphonates on knee replacement surgery	10.1136/annrheumdis-2017-211811	0003-4967	BMJ	77	1	92
pub.1105309375	2018-01-01	ur.01245771102.76	Topologically protected interface phonons in two-dimensional nanomaterials: hexagonal boron nitride and silicon carbide	10.1039/c8nr04314k	2040-3364	Royal Society of Chemistry (RSC)	10	29	13913-13923
