last_name	researcher id	first_name
Albert	ur.01045323572.27	Martin L
Albert	ur.011156131672.13	Ching-To
Albert	ur.011201076012.23	Martin L
Albert	ur.012656452330.29	Martin L
Albert	ur.01361726160.90	Martin L
Albert	ur.01361726160.90	Martin L
Albert	ur.0640207104.44	Martin L
Albert	ur.07600050012.24	Martin L
Alexander	ur.011366070352.40	Andrew S
Alexander	ur.01172306626.02	Andrew S
Alexander	ur.01172306626.02	Andrew S
Alexander	ur.013323756110.20	Andrew S
Alexander	ur.013371262610.80	Andrew S
Alexander	ur.016054545430.67	Andrew S
Alexander	ur.07452164110.38	Andrew S
Alexander	ur.07504240144.04	Andrew S
Andrianesis	ur.012714555227.63	Panagiotis E
Andrianesis	ur.013135205101.81	Panagiotis E
Andrieu	ur.013044453610.92	Guillaume P
Andrieu	ur.013230377055.04	Guillaume P
Andrieu	ur.013230377055.04	Guillaume P
Andrieu	ur.016024536776.36	Guillaume P
Andrieu	ur.07624314064.41	Guillaume P
Applegate	ur.010320030677.51	Matthew B
Applegate	ur.010640612020.02	Matthew B
Arai	ur.01011437640.72	Ken-Suke
Arai	ur.01021462550.54	Ken-Suke
Arai	ur.010316012757.16	Ken-Suke
Arai	ur.01264340253.26	Ken-Suke
Averill	ur.010537547614.48	Colin
Averill	ur.01277136042.64	Colin
Averill	ur.01277136042.64	Colin
Averill	ur.013314465013.13	Colin
Averill	ur.07763666124.53	Colin
Babbs	ur.014073152274.11	Richard Keith
Babbs	ur.0604127103.69	Richard Keith
Bacon	ur.010571204461.26	Kathryn L
Bacon	ur.010571204461.26	Kathryn L
Bacon	ur.011525105774.41	Kathryn L
Bacon	ur.01233275754.70	Jeffrey W
Bacon	ur.012700640010.35	Jeffrey W
Bacon	ur.015052370150.90	Kathryn L
Bargal	ur.012341113216.62	Sarah Adel
Basu	ur.010123013407.94	Soumendra Nath
Beaupere	ur.011262374600.94	Carine
Beaupere	ur.012320520047.34	Carine
Beaupere	ur.0606500320.35	Carine
Beaupere	ur.0606500320.35	Carine
Bell	ur.011067217027.81	Chance A
Bell	ur.011067217027.81	Chance A
Bell	ur.01177543645.18	Margret E
Bell	ur.01177543645.18	Margret E
Bell	ur.016510657721.39	Margret E
Bell	ur.07632376750.99	Chance A
Bentley	ur.012725665527.57	Katie
Bentley	ur.014303476372.58	Katie
Bentley	ur.0771077630.42	Katie
Bentley	ur.0771077630.42	Katie
Benzell	ur.012615123402.21	Seth G
Bernard	ur.015433055555.22	Annie A R
Bhattacharya	ur.0600614671.54	Bidisha
Blankenship	ur.010266423074.74	Tashauna L
Blankenship	ur.011255260450.15	Tashauna L
Blankenship	ur.011263027440.09	Tashauna L
